text,url,earliest_date,is_story,domain
CALIFORNIA NOTICE,/privacy/california/,2022-07-01,False,.
DO NOT SELL MY INFO,/privacy/opt-out/,2022-07-01,False,.
PRIVACY POLICY,/privacy/,2022-07-01,False,.
QUAKE SHEET,/quake.htm,2022-07-01,False,.
Tiger dies after contracting at Ohio zoo...,/https://www.cbsnews.com/news/tiger-dies-after-contracting-covid-columbus-zoo-ohio-jupiter/,2022-07-01,False,.
WEATHER ACTION,/wx.htm,2022-07-01,False,.
X-37B: Space Plane Or Bomber Designed To Nuke Attack Russia?,https://www.19fortyfive.com/2022/09/x-37b-space-plane-or-bomber-designed-to-nuclear-attack-russia/,2022-09-02,True,19fortyfive.com
Does Beijing Have Own Space Plane?,https://www.19fortyfive.com/2022/08/the-air-force-would-freak-out-does-china-have-its-very-own-x-37b-space-plane/,2022-08-06,True,19fortyfive.com
Future of covid vaccines could be sprays and patches...,https://6abc.com/covid-19-sprays-vaccines-new-variants-white-house/12076398/,2022-07-27,True,6abc.com
Man dies after pet snake coils around neck...,https://6abc.com/pet-snake-wraps-around-mans-neck-elliot-senseman-lehigh-county-death-man-dies/12071745/,2022-07-25,True,6abc.com
Lawyer threatens to release more 'evidence'...,https://6abc.com/sesame-place-philadelphia-incident-bucks-county-parade-langhorne/12063271/,2022-07-21,True,6abc.com
Dem lost his re-election after stories published...,https://www.8newsnow.com/news/police-confirm-search-at-county-officials-home-in-connection-with-journalists-homicide-investigation/,2022-09-07,True,8newsnow.com
TMZ,http://www.TMZ.com,2022-07-01,False,TMZ.com
NATION,http://www.TheNation.com,2022-07-01,False,TheNation.com
700 quakes...,https://www.abc.net.au/news/2022-09-20/new-zealand-raises-volcano-alert-lake-taupo/101458576,2022-09-20,True,abc.net.au
Congresswoman killed in car crash...,https://www.abc57.com/news/jackie-walorski-killed-in-crash,2022-08-03,True,abc57.com
7.6 mag off coast... Developing...,https://abc7.com/mexico-earthquake-la-placita-de-morelos-us-geological-survey/12240790/,2022-09-19,True,abc7.com
"Van strikes 2 people, hits 1 structure at LAX...",https://abc7.com/lax-crash-pedestrian-van/12183465/,2022-08-31,True,abc7.com
Biden covid sequel: Symptoms return...,https://abc7chicago.com/biden-continues-to-test-positive-has-return-of-a-loose-cough-do/12093576/,2022-08-02,True,abc7chicago.com
SHOCK: Young Mother Decapitated Outside Home in Bay Area...,https://abc7news.com/san-carlos-murder-woman-beheaded-in-front-of-kids-jose-solano-landaeta-killed/12213435/,2022-09-09,True,abc7news.com
'PHANTOM OF THE OPERA' closing after historic Broadway run...,https://abc7ny.com/phantom-of-the-opera-closing-broadway-nyc/12235003/,2022-09-16,True,abc7ny.com
Baggage handler dies when hair gets stuck in belt loader...,https://abc7ny.com/baggage-handler-dies-when-hair-gets-stuck-in-belt-loader/12185795/,2022-09-01,True,abc7ny.com
UPDATE: NYC launches nuke attack preparedness PSA 'as threat continues to evolve'...,https://abc7ny.com/nyc-nuclear-attack-psa-emergency-management/12044514/,2022-07-12,True,abc7ny.com
ABCNEWS,http://www.abcnews.com/,2022-07-01,False,abcnews.com
IAN MAKES LANDFALL... DEVELOPING...,https://www.accuweather.com/en/hurricane/live-news/hurricane-ian-updates-on-landfall-in-florida-projected-path/1254546,2022-09-28,True,accuweather.com
IAN... DEVELOPING...,https://www.accuweather.com/en/hurricane/live-news/hurricane-ian-updates-florida-gulf-of-mexico/1252749,2022-09-27,True,accuweather.com
FLORIDA HURRICANE DRAMA... DEVELOPING...,https://www.accuweather.com/en/hurricane/tropical-storm-ian-to-rapidly-intensify-before-pummeling-florida/1252603,2022-09-26,True,accuweather.com
