identifier,handle,file_name,url,mtime,size,md5,sha1
berkeleyside-2022,Berkeleyside,berkeleyside-2022-03-31T06:39:48.406319-07:00.hyperlinks.json,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-03-31T06:39:48.406319-07:00.hyperlinks.json,2022-03-31 13:39:55,29466,29d44a833799a6879b1c8922d165693e,2031fdc472209898c9f07023e99be0c0afb72d82
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-01T06:42:02.901955-07:00.hyperlinks.json,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-01T06:42:02.901955-07:00.hyperlinks.json,2022-04-01 13:42:10,29363,3c70d0326d90397983b6baf72cafbf97,2177b1a455518a86e645b4c755ff1614cc1e7d1a
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-02T06:37:00.663196-07:00.hyperlinks.json,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-02T06:37:00.663196-07:00.hyperlinks.json,2022-04-02 13:37:06,29836,e0f14d99acb35439afb513fa98d0f953,7b56e52ddf1e08258da638ec83c7ee9b4b8db0a8
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-04T06:39:44.455189-07:00.hyperlinks.json,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-04T06:39:44.455189-07:00.hyperlinks.json,2022-04-04 13:39:48,30040,511eadec5b213b0f39e14473be608eff,dedecbfef726a9361e799e1e70d78ceb3cc14d01
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-05T06:38:50.048304-07:00.hyperlinks.json,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-05T06:38:50.048304-07:00.hyperlinks.json,2022-04-05 13:39:00,29923,0b543ccda32f8bd4a944d36311921ca6,d9f0166ca81eb50e318e35e43b51f4c50ecb43c0
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-06T06:40:33.074720-07:00.hyperlinks.json,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-06T06:40:33.074720-07:00.hyperlinks.json,2022-04-06 13:40:41,29412,b4f6c857c901e8a4be5f17cb44c3b627,dbcd50e72eb78be89c54d0884484c88a8383bcb7
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-07T06:41:10.821156-07:00.hyperlinks.json,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-07T06:41:10.821156-07:00.hyperlinks.json,2022-04-07 13:41:19,29581,1684d1412ac44a3091b14b5b511c5a36,e70b92982cd534d2535f5a2295e6758557d4d089
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-08T06:40:46.655081-07:00.hyperlinks.json,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-08T06:40:46.655081-07:00.hyperlinks.json,2022-04-08 13:40:54,29589,159b00aa4dc3383c1280456d9dad3276,a4e5386c7e108db28085b644d9e5e2c9e9f7afda
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-09T06:36:33.523904-07:00.hyperlinks.json,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-09T06:36:33.523904-07:00.hyperlinks.json,2022-04-09 13:36:38,29430,8e968d9513f6f8276fb269c7a2c42e33,fddee73bba49cbb4e107cda4e9f029666b51b804
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-10T06:36:46.220100-07:00.hyperlinks.json,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-10T06:36:46.220100-07:00.hyperlinks.json,2022-04-10 13:36:51,29548,a857a2e83382a22fcda7e837c17842da,3201ce48e631e36bfe0b6912bc804a395ae03162
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-11T06:39:50.941065-07:00.hyperlinks.json,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-11T06:39:50.941065-07:00.hyperlinks.json,2022-04-11 13:39:56,29039,cf08bc3bfb8f02a81d19c808ac7e3084,56cfa1b0e3e251e80958c74a240badafa2d34aa4
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-12T06:41:29.050934-07:00.hyperlinks.json,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-12T06:41:29.050934-07:00.hyperlinks.json,2022-04-12 13:41:41,29997,6c3f24532684d786495bc1c498b5e618,f3dd36b3d29199fc1fb6443e6481ee54634af28c
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-13T06:39:19.098604-07:00.hyperlinks.json,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-13T06:39:19.098604-07:00.hyperlinks.json,2022-04-13 13:39:31,30141,cc0999d35db7a04cfb77b3d63aceb773,7372c3d5d6c108efd974ad7d6937bfbe47c3b260
