identifier,handle,file_name,url,title,date,publicdate,addeddate
20minutes-2022,20Minutes,20minutes-2022.json,https://archive.org/details/20minutes-2022,20 Minutes homepages in 2022,2022,2022-04-09 13:42:29,2022-04-09 13:42:29
abc7-2022,ABC,abc7-2022.json,https://archive.org/details/abc7-2022,ABC7 homepages in 2022,2022,2022-03-23 20:58:55,2022-03-23 20:58:55
abc-2022,ABC,abc-2022.json,https://archive.org/details/abc-2022,ABC News homepages in 2022,2022,2022-03-24 23:10:54,2022-03-24 23:10:54
abc7-2022,ABC7,abc7-2022.json,https://archive.org/details/abc7-2022,ABC7 homepages in 2022,2022,2022-03-23 20:58:55,2022-03-23 20:58:55
abqjournal-2022,ABQJournal,abqjournal-2022.json,https://archive.org/details/abqjournal-2022,Albuquerque Journal homepages in 2022,2022,2022-03-25 03:47:41,2022-03-25 03:47:41
baltimoresun-2022,baltimoresun,baltimoresun-2022.json,https://archive.org/details/baltimoresun-2022,The Baltimore Sun homepages in 2022,2022,2022-04-01 13:16:30,2022-04-01 13:16:30
bbc-2022,bbc,bbc-2022.json,https://archive.org/details/bbc-2022,BBC homepages in 2022,2022,2022-03-23 01:47:02,2022-03-23 01:47:02
berkeleyside-2022,Berkeleyside,berkeleyside-2022.json,https://archive.org/details/berkeleyside-2022,The Berkeleyside homepages in 2022,2022,2022-03-23 02:08:42,2022-03-23 02:08:42
bonginoreport-2022,BonginoReport,bonginoreport-2022.json,https://archive.org/details/bonginoreport-2022,Bongino Report homepages in 2022,2022,2022-03-25 18:46:29,2022-03-25 18:46:29
breitbartnews-2022,BreitbartNews,breitbartnews-2022.json,https://archive.org/details/breitbartnews-2022,Breitbart homepages in 2022,2022,2022-03-25 18:46:45,2022-03-25 18:46:45
cbsnews-2022,CBSNews,cbsnews-2022.json,https://archive.org/details/cbsnews-2022,CBS News homepages in 2022,2022,2022-03-24 23:11:21,2022-03-24 23:11:21
cnn-2022,cnn,cnn-2022.json,https://archive.org/details/cnn-2022,CNN homepages in 2022,2022,2022-03-23 01:45:45,2022-03-23 01:45:45
cpublicpress-2022,CPublicPress,cpublicpress-2022.json,https://archive.org/details/cpublicpress-2022,Carolina Public Press homepages in 2022,2022,2022-03-26 14:57:22,2022-03-26 14:57:22
crucessunnews-2022,CrucesSunNews,crucessunnews-2022.json,https://archive.org/details/crucessunnews-2022,Las Cruces Sun News homepages in 2022,2022,2022-03-25 03:47:56,2022-03-25 03:47:56
dailycaller-2022,DailyCaller,dailycaller-2022.json,https://archive.org/details/dailycaller-2022,Daily Caller homepages in 2022,2022,2022-03-25 18:46:08,2022-03-25 18:46:08
dcexaminer-2022,dcexaminer,dcexaminer-2022.json,https://archive.org/details/dcexaminer-2022,Washington Examiner homepages in 2022,2022,2022-03-25 18:45:33,2022-03-25 18:45:33
dmregister-2022,DMRegister,dmregister-2022.json,https://archive.org/details/dmregister-2022,Des Moines Register homepages in 2022,2022,2022-03-25 03:35:06,2022-03-25 03:35:06
drudge-2022,DRUDGE,drudge-2022.json,https://archive.org/details/drudge-2022,Drudge Report homepages in 2022,2022,2022-03-25 13:48:42,2022-03-25 13:48:42
eastbaytimes-2022,EastBayTimes,eastbaytimes-2022.json,https://archive.org/details/eastbaytimes-2022,East Bay Times homepages in 2022,2022,2022-03-23 02:08:59,2022-03-23 02:08:59
el_universal_mx-2022,El_Universal_Mx,el_universal_mx-2022.json,https://archive.org/details/el_universal_mx-2022,El Universal homepages in 2022,2022,2022-04-15 20:40:16,2022-04-15 20:40:16
foxla-2022,FOXLA,foxla-2022.json,https://archive.org/details/foxla-2022,FOX 11 Los Angeles homepages in 2022,2022,2022-03-23 20:59:13,2022-03-23 20:59:13
foxnews-2022,foxnews,foxnews-2022.json,https://archive.org/details/foxnews-2022,Fox News homepages in 2022,2022,2022-03-23 01:45:55,2022-03-23 01:45:55
france24_en-2022,FRANCE24,france24_en-2022.json,https://archive.org/details/france24_en-2022,France 24 English homepages in 2022,2022,2022-04-09 13:40:37,2022-04-09 13:40:37
france24-2022,FRANCE24,france24-2022.json,https://archive.org/details/france24-2022,FRANCE 24 homepages in 2022,2022,2022-04-09 13:41:21,2022-04-09 13:41:21
