handle,datetime,screenshot_url,hyperlinks_url,accessibility_url,lighthouse_url,wayback_url
100reporters,2022-10-18 23:07:28.236031+00:00,https://archive.org/download/100reporters-2022/100reporters-2022-10-18T19:07:28.236031-04:00.jpg,https://archive.org/download/100reporters-2022/100reporters-2022-10-18T19:07:28.236031-04:00.hyperlinks.json,https://archive.org/download/100reporters-2022/100reporters-2022-10-18T19:07:28.236031-04:00.accessibility.json,https://archive.org/download/100reporters-2022/100reporters-2022-10-18T19:07:28.236031-04:00.lighthouse.json,https://archive.org/download/100reporters-2022/100reporters-2022-10-18T19:07:28.236031-04:00.wayback.json
11alivenews,2022-10-18 23:08:37.842144+00:00,https://archive.org/download/11alivenews-2022/11alivenews-2022-10-18T19:08:37.842144-04:00.jpg,https://archive.org/download/11alivenews-2022/11alivenews-2022-10-18T19:08:37.842144-04:00.hyperlinks.json,https://archive.org/download/11alivenews-2022/11alivenews-2022-10-18T19:08:37.842144-04:00.accessibility.json,https://archive.org/download/11alivenews-2022/11alivenews-2022-10-18T19:08:37.842144-04:00.lighthouse.json,https://archive.org/download/11alivenews-2022/11alivenews-2022-10-18T19:08:37.842144-04:00.wayback.json
12khari,2022-10-18 23:08:25.868972+00:00,https://archive.org/download/12khari-2022/12khari-2022-10-19T04:53:25.868972+05:45.jpg,https://archive.org/download/12khari-2022/12khari-2022-10-19T04:53:25.868972+05:45.hyperlinks.json,https://archive.org/download/12khari-2022/12khari-2022-10-19T04:53:25.868972+05:45.accessibility.json,https://archive.org/download/12khari-2022/12khari-2022-10-19T04:53:25.868972+05:45.lighthouse.json,https://archive.org/download/12khari-2022/12khari-2022-10-19T04:53:25.868972+05:45.wayback.json
12newsnow,2022-10-18 23:08:52.553657+00:00,https://archive.org/download/12newsnow-2022/12newsnow-2022-10-18T18:08:52.553657-05:00.jpg,https://archive.org/download/12newsnow-2022/12newsnow-2022-10-18T18:08:52.553657-05:00.hyperlinks.json,https://archive.org/download/12newsnow-2022/12newsnow-2022-10-18T18:08:52.553657-05:00.accessibility.json,https://archive.org/download/12newsnow-2022/12newsnow-2022-10-18T18:08:52.553657-05:00.lighthouse.json,https://archive.org/download/12newsnow-2022/12newsnow-2022-10-18T18:08:52.553657-05:00.wayback.json
13wmaznews,2022-10-18 23:07:26.666100+00:00,https://archive.org/download/13wmaznews-2022/13wmaznews-2022-10-18T19:07:26.666100-04:00.jpg,https://archive.org/download/13wmaznews-2022/13wmaznews-2022-10-18T19:07:26.666100-04:00.hyperlinks.json,https://archive.org/download/13wmaznews-2022/13wmaznews-2022-10-18T19:07:26.666100-04:00.accessibility.json,https://archive.org/download/13wmaznews-2022/13wmaznews-2022-10-18T19:07:26.666100-04:00.lighthouse.json,https://archive.org/download/13wmaznews-2022/13wmaznews-2022-10-18T19:07:26.666100-04:00.wayback.json
14eastmag,2022-10-18 23:07:20.615226+00:00,https://archive.org/download/14eastmag-2022/14eastmag-2022-10-18T18:07:20.615226-05:00.jpg,https://archive.org/download/14eastmag-2022/14eastmag-2022-10-18T18:07:20.615226-05:00.hyperlinks.json,https://archive.org/download/14eastmag-2022/14eastmag-2022-10-18T18:07:20.615226-05:00.accessibility.json,https://archive.org/download/14eastmag-2022/14eastmag-2022-10-18T18:07:20.615226-05:00.lighthouse.json,https://archive.org/download/14eastmag-2022/14eastmag-2022-10-18T18:07:20.615226-05:00.wayback.json
19thnews,2022-10-18 23:08:30.423712+00:00,https://archive.org/download/19thnews-2022/19thnews-2022-10-18T18:08:30.423712-05:00.jpg,https://archive.org/download/19thnews-2022/19thnews-2022-10-18T18:08:30.423712-05:00.hyperlinks.json,https://archive.org/download/19thnews-2022/19thnews-2022-10-18T18:08:30.423712-05:00.accessibility.json,https://archive.org/download/19thnews-2022/19thnews-2022-10-18T18:08:30.423712-05:00.lighthouse.json,https://archive.org/download/19thnews-2022/19thnews-2022-10-18T18:08:30.423712-05:00.wayback.json
1newsnz,2022-10-18 23:08:39.982067+00:00,https://archive.org/download/1newsnz-2022/1newsnz-2022-10-19T12:08:39.982067+13:00.jpg,https://archive.org/download/1newsnz-2022/1newsnz-2022-10-19T12:08:39.982067+13:00.hyperlinks.json,https://archive.org/download/1newsnz-2022/1newsnz-2022-10-19T12:08:39.982067+13:00.accessibility.json,https://archive.org/download/1newsnz-2022/1newsnz-2022-10-19T12:08:39.982067+13:00.lighthouse.json,https://archive.org/download/1newsnz-2022/1newsnz-2022-10-19T12:08:39.982067+13:00.wayback.json
20minutes,2022-10-18 23:08:16.423710+00:00,https://archive.org/download/20minutes-2022/20minutes-2022-10-19T01:08:16.423710+02:00.jpg,https://archive.org/download/20minutes-2022/20minutes-2022-10-19T01:08:16.423710+02:00.hyperlinks.json,https://archive.org/download/20minutes-2022/20minutes-2022-10-19T01:08:16.423710+02:00.accessibility.json,https://archive.org/download/20minutes-2022/20minutes-2022-10-19T01:08:16.423710+02:00.lighthouse.json,https://archive.org/download/20minutes-2022/20minutes-2022-10-19T01:08:16.423710+02:00.wayback.json
3newsnowomaha,2022-10-18 23:07:45.871530+00:00,https://archive.org/download/3newsnowomaha-2022/3newsnowomaha-2022-10-18T18:07:45.871530-05:00.jpg,https://archive.org/download/3newsnowomaha-2022/3newsnowomaha-2022-10-18T18:07:45.871530-05:00.hyperlinks.json,https://archive.org/download/3newsnowomaha-2022/3newsnowomaha-2022-10-18T18:07:45.871530-05:00.accessibility.json,https://archive.org/download/3newsnowomaha-2022/3newsnowomaha-2022-10-18T18:07:45.871530-05:00.lighthouse.json,https://archive.org/download/3newsnowomaha-2022/3newsnowomaha-2022-10-18T18:07:45.871530-05:00.wayback.json
