handle,performance_count,performance_median,performance_mean,performance_min,performance_max,performance_std,accessibility_count,accessibility_median,accessibility_mean,accessibility_min,accessibility_max,accessibility_std,seo_count,seo_median,seo_mean,seo_min,seo_max,seo_std,best_practices_count,best_practices_median,best_practices_mean,best_practices_min,best_practices_max,best_practices_std,performance_color,accessibility_color,seo_color,best_practices_color,performance_rank,accessibility_rank,seo_rank,best_practices_rank
100Reporters,15,0.16,0.16,0.13,0.2,0.015583874449479597,15,0.89,0.89,0.89,0.89,0.0,15,0.88,0.8753333333333334,0.87,0.88,0.005163977794943197,15,0.58,0.58,0.58,0.58,0.0,red,orange,orange,orange,923.0,291.0,667.0,1067.0
11AliveNews,15,0.21,0.21066666666666667,0.14,0.29,0.051055525329455446,15,0.81,0.8193333333333334,0.81,0.8300000000000001,0.010327955589886445,15,0.7000000000000001,0.7,0.7,0.7000000000000001,4.1962486042515756e-17,15,0.67,0.664,0.58,0.67,0.023237900077244522,red,orange,orange,orange,786.0,774.0,1082.0,979.0
12NewsNow,15,0.23,0.22000000000000003,0.14,0.33,0.06267831705280089,15,0.81,0.808,0.8,0.81,0.004140393356054131,15,0.7000000000000001,0.7,0.7,0.7000000000000001,4.1962486042515756e-17,15,0.75,0.7286666666666667,0.67,0.75,0.0366190166573651,red,orange,orange,orange,730.0,774.0,1082.0,786.0
12khari,14,0.26,0.2714285714285714,0.19,0.36,0.05503245795502349,14,0.78,0.78,0.78,0.78,0.0,14,0.85,0.85,0.85,0.85,0.0,14,0.92,0.9135714285714286,0.8300000000000001,0.92,0.0240535117721182,red,orange,orange,green,667.0,882.0,724.0,126.0
13wmaznews,15,0.24,0.24000000000000002,0.13,0.36,0.07329003050503234,15,0.81,0.8193333333333334,0.81,0.8300000000000001,0.010327955589886445,15,0.78,0.7786666666666666,0.77,0.78,0.003518657752745002,15,0.75,0.75,0.75,0.75,0.0,red,orange,orange,orange,710.0,774.0,977.0,786.0
14eastmag,22,0.13,0.13136363636363638,0.05,0.28,0.04959795066287225,22,0.75,0.75,0.75,0.75,0.0,22,0.73,0.73,0.73,0.73,0.0,22,0.75,0.7245454545454545,0.67,0.75,0.03813850356982364,red,orange,orange,orange,994.0,951.0,1075.0,786.0
19thnews,15,0.78,0.7580000000000001,0.58,0.87,0.07589466384404112,15,0.95,0.95,0.95,0.95,0.0,15,0.92,0.9213333333333333,0.92,0.93,0.0035186577527449993,15,0.92,0.9513333333333333,0.83,1.0,0.05221749387577565,orange,green,green,green,248.0,139.0,233.0,126.0
1NewsNZ,15,0.17,0.1686666666666667,0.15,0.18,0.0063994047342218465,15,0.79,0.7900000000000001,0.79,0.79,0.0,15,0.92,0.92,0.92,0.92,0.0,15,0.92,0.92,0.92,0.92,0.0,red,orange,green,green,886.0,851.0,233.0,126.0
20Minutes,23,0.41,0.4039130434782609,0.3,0.55,0.06492927133951097,23,0.8,0.8,0.8,0.8,0.0,23,0.9,0.9,0.9,0.9,0.0,23,0.92,0.92,0.92,0.92,0.0,red,orange,green,green,469.0,814.0,588.0,126.0
3NewsNowOmaha,15,0.21,0.20933333333333334,0.16,0.29,0.0365409098851971,15,0.98,0.964,0.94,0.98,0.018822478962286397,15,0.91,0.91,0.91,0.91,0.0,15,0.8300000000000001,0.7926666666666667,0.67,0.8300000000000001,0.05119523787377476,red,green,green,orange,786.0,27.0,487.0,298.0
41NBC,15,0.11,0.11933333333333333,0.07,0.19,0.044314890542677905,15,0.85,0.8493333333333334,0.84,0.85,0.002581988897471594,15,0.8200000000000001,0.8253333333333334,0.82,0.9,0.020655911179772914,15,0.67,0.6746666666666667,0.58,0.75,0.03833436851604328,red,orange,orange,orange,1020.0,669.0,922.0,979.0
6abc,15,0.23,0.23399999999999999,0.12,0.32,0.04272837799067835,15,0.56,0.5506666666666667,0.54,0.56,0.010327955589886448,15,0.84,0.84,0.84,0.84,0.0,15,0.75,0.7553333333333333,0.67,0.8300000000000001,0.03661901665736509,red,orange,orange,orange,730.0,1091.0,781.0,786.0
9NEWS,15,0.23,0.242,0.14,0.35,0.0687853805065333,15,0.81,0.8053333333333333,0.8,0.81,0.005163977794943194,15,0.7000000000000001,0.7,0.7,0.7000000000000001,4.1962486042515756e-17,15,0.75,0.75,0.75,0.75,0.0,red,orange,orange,orange,730.0,774.0,1082.0,786.0
9to5mac,15,0.24,0.23666666666666666,0.18,0.29,0.02497617912751114,15,0.65,0.664,0.65,0.72,0.028982753492378874,15,0.89,0.904,0.89,0.96,0.028982753492378874,15,0.75,0.7286666666666667,0.67,0.75,0.03661901665736507,red,orange,orange,orange,710.0,1061.0,649.0,786.0
ABC,29,0.21,0.20862068965517241,0.15,0.22,0.012166739770795056,29,0.6900000000000001,0.6934482758620689,0.69,0.71,0.007688517444384869,29,0.92,0.92,0.92,0.92,0.0,29,0.92,0.8889655172413794,0.83,0.92,0.04353527531834773,red,orange,green,green,786.0,1031.0,233.0,126.0
ABC15,15,0.19,0.20133333333333334,0.16,0.26,0.027740292167239503,15,0.96,0.95,0.89,0.98,0.03545621041711672,15,0.91,0.896,0.84,0.91,0.02898275349237891,15,0.8300000000000001,0.8086666666666668,0.75,0.8300000000000001,0.03661901665736512,red,green,green,orange,838.0,89.0,487.0,298.0
ABC7,15,0.23,0.272,0.23,0.46,0.07636379097077732,15,0.61,0.6046666666666667,0.59,0.61,0.009154754164341293,15,0.84,0.84,0.84,0.84,0.0,15,0.75,0.75,0.67,0.8300000000000001,0.0427617987059879,red,orange,orange,orange,730.0,1071.0,781.0,786.0
ABQJournal,15,0.03,0.05733333333333334,0.01,0.16,0.054309518590425834,15,0.76,0.762,0.76,0.77,0.004140393356054113,15,0.5,0.5,0.5,0.5,0.0,15,0.75,0.7446666666666667,0.67,0.75,0.020655911179772883,red,orange,orange,orange,1086.0,936.0,1101.0,786.0
