identifier,handle,file_name,date,performance,accessibility,best_practices,seo,pwa
100reporters-2022,100Reporters,100reporters-2022-09-05T06:57:42.685660-04:00.lighthouse.json,2022-09-05,0.14,0.89,0.58,0.87,0.3
100reporters-2022,100Reporters,100reporters-2022-09-05T18:58:14.372453-04:00.lighthouse.json,2022-09-05,0.14,0.89,0.58,0.88,0.3
100reporters-2022,100Reporters,100reporters-2022-09-06T06:53:02.993071-04:00.lighthouse.json,2022-09-06,0.14,0.89,0.58,0.88,0.3
100reporters-2022,100Reporters,100reporters-2022-09-06T19:03:56.281954-04:00.lighthouse.json,2022-09-06,0.16,0.89,0.58,0.88,0.3
100reporters-2022,100Reporters,100reporters-2022-09-07T08:09:55.851443-04:00.lighthouse.json,2022-09-07,0.14,0.89,0.58,0.88,0.3
100reporters-2022,100Reporters,100reporters-2022-09-07T18:57:10.364743-04:00.lighthouse.json,2022-09-07,0.16,0.89,0.58,0.87,0.3
100reporters-2022,100Reporters,100reporters-2022-09-08T06:59:53.168836-04:00.lighthouse.json,2022-09-08,0.14,0.89,0.58,0.88,0.3
100reporters-2022,100Reporters,100reporters-2022-09-08T19:55:15.459677-04:00.lighthouse.json,2022-09-08,0.15,0.89,0.58,0.87,0.3
100reporters-2022,100Reporters,100reporters-2022-09-09T07:02:03.409266-04:00.lighthouse.json,2022-09-09,0.15,0.89,0.58,0.88,0.3
100reporters-2022,100Reporters,100reporters-2022-09-09T19:02:00.438905-04:00.lighthouse.json,2022-09-09,0.14,0.89,0.58,0.87,0.3
100reporters-2022,100Reporters,100reporters-2022-09-10T06:51:36.371267-04:00.lighthouse.json,2022-09-10,0.15,0.89,0.58,0.87,0.3
100reporters-2022,100Reporters,100reporters-2022-09-10T19:03:16.500138-04:00.lighthouse.json,2022-09-10,0.14,0.89,0.58,0.88,0.3
100reporters-2022,100Reporters,100reporters-2022-09-11T06:52:22.037264-04:00.lighthouse.json,2022-09-11,0.14,0.89,0.58,0.88,0.3
11alivenews-2022,11AliveNews,11alivenews-2022-09-05T06:58:05.931975-04:00.lighthouse.json,2022-09-05,0.27,0.81,0.75,0.7,0.5
11alivenews-2022,11AliveNews,11alivenews-2022-09-05T18:58:03.455044-04:00.lighthouse.json,2022-09-05,0.22,0.83,0.75,0.7,0.5
11alivenews-2022,11AliveNews,11alivenews-2022-09-06T06:53:29.651724-04:00.lighthouse.json,2022-09-06,0.2,0.81,0.58,0.7,0.5
11alivenews-2022,11AliveNews,11alivenews-2022-09-06T19:03:01.569301-04:00.lighthouse.json,2022-09-06,0.33,0.83,0.75,0.7,0.5
11alivenews-2022,11AliveNews,11alivenews-2022-09-07T08:08:18.246856-04:00.lighthouse.json,2022-09-07,0.19,0.81,0.67,0.7,0.5
11alivenews-2022,11AliveNews,11alivenews-2022-09-07T18:57:43.424301-04:00.lighthouse.json,2022-09-07,0.15,0.83,0.67,0.7,0.5
11alivenews-2022,11AliveNews,11alivenews-2022-09-08T06:59:35.941860-04:00.lighthouse.json,2022-09-08,0.1,0.81,0.67,0.7,0.5
11alivenews-2022,11AliveNews,11alivenews-2022-09-08T19:53:50.698163-04:00.lighthouse.json,2022-09-08,0.15,0.83,0.5,0.7,0.5
11alivenews-2022,11AliveNews,11alivenews-2022-09-09T07:01:58.195324-04:00.lighthouse.json,2022-09-09,0.17,0.81,0.67,0.7,0.5
11alivenews-2022,11AliveNews,11alivenews-2022-09-09T19:01:34.181120-04:00.lighthouse.json,2022-09-09,0.17,0.83,0.67,0.7,0.5
11alivenews-2022,11AliveNews,11alivenews-2022-09-10T06:51:41.082784-04:00.lighthouse.json,2022-09-10,0.2,0.81,0.67,0.7,0.5
11alivenews-2022,11AliveNews,11alivenews-2022-09-10T19:03:18.946009-04:00.lighthouse.json,2022-09-10,0.32,0.83,0.67,0.7,0.5
11alivenews-2022,11AliveNews,11alivenews-2022-09-11T06:53:05.347361-04:00.lighthouse.json,2022-09-11,0.19,0.81,0.67,0.7,0.5
12newsnow-2022,12NewsNow,12newsnow-2022-09-05T05:58:08.186645-05:00.lighthouse.json,2022-09-05,0.28,0.81,0.83,0.7,0.5
12newsnow-2022,12NewsNow,12newsnow-2022-09-05T17:58:11.966350-05:00.lighthouse.json,2022-09-05,0.35,0.81,0.83,0.7,0.5
12newsnow-2022,12NewsNow,12newsnow-2022-09-06T05:53:32.896546-05:00.lighthouse.json,2022-09-06,0.19,0.81,0.83,0.7,0.5
12newsnow-2022,12NewsNow,12newsnow-2022-09-06T18:03:24.785129-05:00.lighthouse.json,2022-09-06,0.33,0.81,0.83,0.7,0.5
12newsnow-2022,12NewsNow,12newsnow-2022-09-07T07:10:24.704470-05:00.lighthouse.json,2022-09-07,0.34,0.81,0.75,0.7,0.5
12newsnow-2022,12NewsNow,12newsnow-2022-09-07T17:57:38.759883-05:00.lighthouse.json,2022-09-07,0.3,0.81,0.75,0.7,0.5
12newsnow-2022,12NewsNow,12newsnow-2022-09-08T06:00:06.706456-05:00.lighthouse.json,2022-09-08,0.33,0.81,0.58,0.7,0.5
