identifier,handle,file_name,url,mtime,size,md5,sha1
berkeleyside-2022,Berkeleyside,Berkeleyside-2022-03-22T19:08:25.599656-07:00.jpg,https://archive.org/download/berkeleyside-2022/Berkeleyside-2022-03-22T19:08:25.599656-07:00.jpg,2022-03-23 02:08:31,361784,016d51a4378c3ecf62b4fcac3aff93ec,3f584aa513196cab26c13f94235e2c991c13d047
berkeleyside-2022,Berkeleyside,Berkeleyside-2022-03-23T06:39:28.122104-07:00.jpg,https://archive.org/download/berkeleyside-2022/Berkeleyside-2022-03-23T06:39:28.122104-07:00.jpg,2022-03-23 13:39:30,343557,36d4ef4f1795dd5182aa7f57bf251ae4,e362f79693463d958ff5d6c903c5c7cb9594db17
berkeleyside-2022,Berkeleyside,Berkeleyside-2022-03-23T19:06:44.813206-07:00.jpg,https://archive.org/download/berkeleyside-2022/Berkeleyside-2022-03-23T19:06:44.813206-07:00.jpg,2022-03-24 02:06:46,343289,2cee9a95a020ac0ea2aef09405714033,df5ebf3c79c3046f13dc12a159930c50557fa81c
berkeleyside-2022,Berkeleyside,Berkeleyside-2022-03-24T06:39:05.464675-07:00.jpg,https://archive.org/download/berkeleyside-2022/Berkeleyside-2022-03-24T06:39:05.464675-07:00.jpg,2022-03-24 13:39:06,342629,905565b2018a83459f09b88556e61ab2,5f12e3531ee546951e0fb4c5a03da97f9c9e53aa
berkeleyside-2022,Berkeleyside,Berkeleyside-2022-03-24T19:04:33.864709-07:00.jpg,https://archive.org/download/berkeleyside-2022/Berkeleyside-2022-03-24T19:04:33.864709-07:00.jpg,2022-03-25 02:04:34,331688,8656bc6f5c698ed682f7426c008812f3,73b558ed27f6fc474aaadb4c9be7f6a8c207c1fb
berkeleyside-2022,Berkeleyside,Berkeleyside-2022-03-25T06:55:42.332109-07:00.jpg,https://archive.org/download/berkeleyside-2022/Berkeleyside-2022-03-25T06:55:42.332109-07:00.jpg,2022-03-25 13:55:43,324510,b8c709e5cf2f2987eee20a4403a4e688,ba3eb37931e38bfc3d9871007782ea186d72f392
berkeleyside-2022,Berkeleyside,Berkeleyside-2022-03-27T06:36:14.297848-07:00.jpg,https://archive.org/download/berkeleyside-2022/Berkeleyside-2022-03-27T06:36:14.297848-07:00.jpg,2022-03-27 13:36:15,374180,5eee73397b79c4e462640b70c1c9a64b,c4288c237122d159d6ee083399ec3c2be17be951
berkeleyside-2022,Berkeleyside,Berkeleyside-2022-03-28T06:38:41.222142-07:00.jpg,https://archive.org/download/berkeleyside-2022/Berkeleyside-2022-03-28T06:38:41.222142-07:00.jpg,2022-03-28 13:38:49,346562,c78c3adb4bf336a7e0c1807688581c93,f62da26879b946ff04f310713cc94f0cd35e3420
berkeleyside-2022,Berkeleyside,Berkeleyside-2022-03-29T06:39:04.707409-07:00.jpg,https://archive.org/download/berkeleyside-2022/Berkeleyside-2022-03-29T06:39:04.707409-07:00.jpg,2022-03-29 13:39:07,374361,34ddcf236ab63ef08ab011bf52315fd3,763b33d5ead0b66124b7447deb677c5206ce8978
berkeleyside-2022,Berkeleyside,Berkeleyside-2022-03-30T06:39:25.302119-07:00.jpg,https://archive.org/download/berkeleyside-2022/Berkeleyside-2022-03-30T06:39:25.302119-07:00.jpg,2022-03-30 13:39:26,371218,9a8e4b747b4bc164412669f714b8a965,f3d04ac2e9543d85e53f6218fe1743b807c52b19
berkeleyside-2022,Berkeleyside,berkeleyside-2022-03-31T06:39:48.406319-07:00.jpg,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-03-31T06:39:48.406319-07:00.jpg,2022-03-31 13:39:51,385249,4cc67f921a9f35b09e80c7fe0a0e8b81,67f329ce95a8ab0018fb73f4b334dcd73a0f1889
berkeleyside-2022,Berkeleyside,berkeleyside-2022-04-01T06:42:02.901955-07:00.jpg,https://archive.org/download/berkeleyside-2022/berkeleyside-2022-04-01T06:42:02.901955-07:00.jpg,2022-04-01 13:42:05,392859,cbc5cd8ce2e91418a152d6f67f3a5e5b,156db024c60d2b93a9dd5230ed299c8b212525a9
