site_handle,bundle_slug
11AliveNews,georgia
12NewsNow,texas
13wmaznews,georgia
14eastmag,chicago
19thnews,feminist
3NewsNowOmaha,nebraska
41NBC,georgia
6abc,philadelphia
9NEWS,colorado
9to5mac,tech
ABC,us-national
ABC15,arizona
ABC7,socal
ABQJournal,new-mexico
AINonline,aviation
AKNewsNow,alaska
ALPublicRadio,alabama
ALReporter,alabama
AP,us-national
AUG_Chronicle,georgia
AirlineReporter,aviation
Akpublicnews,alaska
AlDiaDallas,texas
Albany_Herald,georgia
AlterNet,us-left-wing
AmerIndependent,us-left-wing
AmesTribNews,iowa
ArizCIR,arizona
ArkBusiness,arkansas
ArkTimes,arkansas
ArkansasOnline,arkansas
AshlandORNews,oregon
AspenJournalism,colorado
AustinChronicle,texas
AustinVida,texas
AviationNews,aviation
AviationWeek,aviation
AvlWatchdog,north-carolina
BINJreports,massachusetts
BaltBizOnline,maryland
BaltimoreBanner,maryland
BaltimoreBrew,maryland
Baltimoremag,maryland
Berkeleyside,bay-area
BerkshireEagle,massachusetts
BetterGov,chicago
BleacherReport,sports
BleepinComputer,tech
BlockClubCHI,chicago
BmtEnterprise,texas
BoingBoing,tech
BonginoReport,us-right-wing
Borderless_Mag,chicago
BostonGlobe,massachusetts
BostonHerald,massachusetts
BreckTexan,texas
BreitbartNews,us-right-wing
Brunswick_News,georgia
BulwarkOnline,us-right-wing
CBS7News,texas
CBSNews,us-national
CNET,tech
CNSmd,maryland
CODaily,oregon
CPRNews,colorado
CPublicPress,north-carolina
CQnow,capitol-hill
CalMatters,bay-area
CapitalB_ATL,georgia
Charlie_Hebdo_,satire
ChessBase,chess
ChicagoReporter,chicago
Chicago_Reader,chicago
CiceroNoticias,chicago
CityAndStateNY,new-york-city
CityJournal,us-right-wing
CoMissourian,missouri
CoinDesk,tech
ColoradoSun,colorado
CookPolitical,capitol-hill
CrucesSunNews,new-mexico
DEADLINE,entertainment
DMRegister,iowa
DRUDGE,us-right-wing
DailyCaller,us-right-wing
DailyNeb,nebraska
DailyNeb,student
DallasBizNews,texas
Deadspin,sports
DecisionDeskHQ,capitol-hill
DefectorMedia,sports
DenverChannel,colorado
Denverite,colorado
DroneDJ,aviation
EENewsUpdates,capitol-hill
EastBayTimes,bay-area
EpochTimes,us-right-wing
EvRoundTable,chicago
ExpressNews,texas
FAIRmediawatch,us-left-wing
FDRLST,us-right-wing
FLPhoenixNews,florida
FOX29philly,philadelphia
FOXLA,socal
FOXSports,sports
Fla_Pol,florida
FlightGlobal,aviation
Florida_Bulldog,florida
FortWorthReport,texas
Fox5Atlanta,georgia
FreeBeacon,us-right-wing
GCM_nf,chicago
GainesvilleSun,florida
GalvNews,texas
GothamGazette,new-york-city
Gothamist,new-york-city
GwinnettDaily,georgia
HellGateNY,new-york-city
HiddenCityPhila,philadelphia
HoustonChron,texas
HuffPost,us-left-wing
HumanEvents,us-right-wing
IowaPublicRadio,iowa
JessicaValenti,feminist
Jezebel,us-left-wing
Jezebel,feminist
JoplinGlobe,missouri
JournalStarNews,nebraska
JuneauEmpire,alaska
JustTheNews,us-right-wing
KAKEnews,kansas
KARK4News,arkansas
KATVNews,arkansas
KCCINews,iowa
KCDefender,missouri
KCRG,iowa
KCStar,missouri
KETV,nebraska
KHOU,texas
KING5Seattle,washington
KOMUnews,missouri
KPR_Frankfort,kentucky
KQED,bay-area
KSNNews,kansas
KTLA,socal
KTOOpubmedia,alaska
KUT,texas
KVOA,arizona
KVUE,texas
KXAN_News,texas
KnockDotLA,socal
KyStandard,kentucky
LATACO,socal
LEX18News,kentucky
LJWorld,kansas
LaCrosseTribune,wisconsin
LagrangeNews,georgia
LasVegasSun,las-vegas
LedgerEnquirer,georgia
LeverNews,us-left-wing
LittleVillage,iowa
MDDailyRecord,maryland
MGMAdvertiser,alabama
MO_Independent,missouri
MSFreePress,mississippi
MSTODAYnews,mississippi
MTVNEWS,entertainment
MacRumors,tech
MarfaRadio,texas
MiamiHerald,florida
Midnight_Sun_ak,alaska
MinnPost,minnesota
MorePerfectUS,us-left-wing
MotherJones,us-left-wing
MyDesert,socal
NBCDFW,texas
NBCNews,us-national
NBCPhiladelphia,philadelphia
NEheadlines,kentucky
NPR,us-national
NRO,us-right-wing
NY1,new-york-city
NYDailyNews,new-york-city
NYMag,new-york-city
NebPublicMedia,nebraska
NewYorker,new-york-city
News3LV,las-vegas
NewsChannelNE,nebraska
NewsHour,us-national
NewsTribune,missouri
Newsday,new-york-city
NiemanLab,massachusetts
OANN,us-right-wing
ORCapChronicle,oregon
OWHnews,nebraska
Oaklandside,bay-area
OpenVallejo,bay-area
Oregonian,oregon
OttumwaCourier,iowa
PageSix,entertainment
PeninsuPress,bay-area
PhillyInquirer,philadelphia
PhillyTrib,philadelphia
PioneerPress,minnesota
PointReyesLight,bay-area
PolitiFact,capitol-hill
PostCrescent,wisconsin
PrivateEyeNews,satire
PunchbowlNews,capitol-hill
RawStory,us-left-wing
RedState,us-right-wing
Reductress,satire
ReporterNews,texas
RollingStone,entertainment
SBNation,sports
SCOTUSblog,capitol-hill
SInow,sports
SJSpotlight,bay-area
SLTimes,iowa
SPACEdotcom,science
SahanJournal,minnesota
SavannahNow,georgia
SearchlightNM,new-mexico
Slate,us-left-wing
SouthSideWeekly,chicago
SpaceNews_Inc,science
SpokesmanReview,washington
StarTribune,minnesota
StevensPointJrl,wisconsin
StudyFindsorg,science
Suntimes,chicago
THECITYNY,new-york-city
THR,entertainment
THV11,arkansas
TIME,us-national
TMZ,entertainment
TOAcornNews,socal
TPRNews,texas
TelegraphHerald,iowa
TelemundoCHI,chicago
TexasMonthly,texas
TexasObserver,texas
TexasTribune,texas
TheAlligator,florida
TheAlligator,student
TheAthletic,sports
TheBabylonBee,satire
TheBlock__,tech
TheCut,feminist
TheDailyClimate,science
TheDePaulia,chicago
TheDePaulia,student
TheJaxTrib,florida
TheLeftBench,maryland
TheNation,us-left-wing
TheOnion,satire
ThePearlPost,student
TheProspect,us-left-wing
TheRealNews,maryland
TheRioTimes,sports
TheTRiiBE,chicago
TheVDT,georgia
TheWrap,entertainment
TiftonGazette1,georgia
TimesHerald,georgia
TucsonSentinel,arizona
TucsonStar,arizona
Tylerpaper,texas
UMD_SBS,maryland
UR_Ninja,us-left-wing
USATODAY,us-national
UvaldeNews,texas
Variety,entertainment
VentureBeat,tech
WALBNews10,georgia
WBEZ,chicago
WBRCnews,alabama
WBUR,massachusetts
WDRBNews,kentucky
WFXL,georgia
WGNNews,chicago
WHAS11,kentucky
WHYYNews,philadelphia
WJBF,georgia
WKYT,kentucky
WNCN,north-carolina
WNYC,new-york-city
WOWT6News,nebraska
WRDW_WAGT,georgia
WSAV,georgia
WTOC11,georgia
WTVM,georgia
WashTimes,us-right-wing
WiStateJournal,wisconsin
Wonkette,us-left-wing
YahooNews,us-national
abc3340,alabama
abc7breaking,texas
abc7newsbayarea,bay-area
abqbizfirst,new-mexico
adndotcom,alaska
airwaysmagazine,aviation
ajc,georgia
aldotcom,alabama
anchoragepress,alaska
andscape,sports
arstechnica,tech
atlblog,us-left-wing
atlciviccircle,georgia
avherald,aviation
axios,capitol-hill
azcentral,arizona
azds,arizona
badger_project_,wisconsin
baltbeat,maryland
baltfishbowl,maryland
baltimoresun,maryland
bariweiss,us-right-wing
baynature,bay-area
bcn_foundation,bay-area
bgdailynews,kentucky
billy_penn,philadelphia
bklyner,new-york-city
bosbizjournal,massachusetts
brooklynpaper,new-york-city
business,us-national
canopyatl,georgia
capgaznews,maryland
capitalandmain,socal
cbs46,georgia
cbschicago,chicago
chess24com,chess
chesscom,chess
chicagotribune,chicago
citylimitsnews,new-york-city
cnn,us-national
colabnewsco,colorado
commondreams,us-left-wing
courierjournal,kentucky
csgazette,colorado
dailycamera,colorado
dailyherald,chicago
dailykos,us-left-wing
dailypenn,philadelphia
dailypenn,student
dailytarheel,north-carolina
dallasfreepress,texas
dallasnews,texas
dcexaminer,us-right-wing
democracynow,us-left-wing
denverpost,colorado
documentedny,new-york-city
doorcountyknock,wisconsin
el_timpano,bay-area
elpasomatters,texas
elpasotimes,texas
enews,entertainment
engadget,tech
espn,sports
firstthingsmag,us-right-wing
flatwaterfreep,nebraska
fox12oregon,oregon
fox5ny,new-york-city
foxnews,us-national
foxnews,us-right-wing
frednewspost,maryland
freethinkmedia,tech
gatewaypundit,us-right-wing
gazettedotcom,iowa
gbpressgazette,wisconsin
getFANDOM,entertainment
gigharbornow,washington
gizmodo,tech
gpbnews,georgia
gradynewsource,georgia
gradynewsource,student
gridnews,capitol-hill
heraldleader,kentucky
hotairblog,us-right-wing
htrnews,wisconsin
humansofny,new-york-city
hwherald,chicago
inewsource,socal
infowars,us-right-wing
injusticewatch,chicago
inthesetimesmag,us-left-wing
jacobin,us-left-wing
johncombest,missouri
journalsentinel,wisconsin
kansasdotcom,kansas
kcautv,iowa
kcrw,socal
kcur,missouri
kerrville,texas
knprnews,las-vegas
kpbs,socal
kpcc,socal
kuarpublicradio,arkansas
labornotes,us-left-wing
laist,socal
lancenet,sports
latimes,socal
leadertelegram,wisconsin
lookoutscruz,bay-area
lubbockonline,texas
marylandmatters,maryland
mashable,tech
mcgilldaily,student
mdjonline,georgia
mercnews,bay-area
miwisconsin,wisconsin
mlnow,bay-area
mmfa,us-left-wing
msnbc,us-national
msnbc,us-left-wing
mwtnews,texas
nationaljournal,capitol-hill
nbcbayarea,bay-area
nbcchicago,chicago
newrepublic,us-left-wing
newsmax,us-right-wing
newsminer,alaska
newsobserver,north-carolina
newspressnow,missouri
nextcityorg,philadelphia
ntdaily,texas
nwademgaz,arkansas
nypost,new-york-city
nysfocus,new-york-city
nytimes,us-national
nytimes,new-york-city
ocregister,socal
oglethorpe_echo,georgia
okayplayer,entertainment
omelete,entertainment
onlineathens,georgia
people,entertainment
pitchfork,chicago
platformer,tech
politico,capitol-hill
portlandmercury,oregon
powerlineus,us-right-wing
presscitizen,iowa
pressenterprise,socal
protocol,tech
qctimes,iowa
realDailyWire,us-right-wing
reason,us-right-wing
reckonnews,alabama
reviewjournal,las-vegas
rgvfox,texas
ringer,entertainment
rollcall,capitol-hill
romenewstribune,georgia
sacbee_news,bay-area
salon,us-left-wing
scsentinel,bay-area
sdut,socal
seattletimes,washington
sfchronicle,bay-area
sgfcitizen,missouri
simple_flying,aviation
source_nm,new-mexico
startelegram,texas
statejournal,kentucky
statesman,texas
statnews,science
stlpublicradio,missouri
stltoday,missouri
strikewave,us-left-wing
tb_times,florida
techcrunch,tech
techmeme,tech
techreview,tech
telegraphga,georgia
thebafflermag,us-left-wing
theblaze,us-right-wing
thedbk,maryland
thedispatch,us-right-wing
thehill,capitol-hill
theinformation,tech
theintercept,us-left-wing
thelasentinel,socal
themarkup,tech
thenewmexican,new-mexico
theobserver,north-carolina
thephilacitizen,philadelphia
timesenterprise,georgia
torrentfreak,tech
townhallcom,us-right-wing
tpm,capitol-hill
truthout,us-left-wing
tuscaloosanews,alabama
unichicago,chicago
usweekly,entertainment
uwogazette,student
vcstar,socal
verge,tech
verticalmag,aviation
voiceofoc,socal
voiceofsandiego,socal
voicesofbay,bay-area
voxdotcom,us-left-wing
vulture,entertainment
wabenews,georgia
washingtonpost,us-national
washingtonpost,maryland
wausauherald,wisconsin
wave3news,kentucky
wcfcourier,iowa
weatherchannel,science
wfaa,texas
windowscentral,tech
wired,tech
worldnetdaily,us-right-wing
wplglocal10,florida
wral,north-carolina
wrblnews3,georgia
wsbtv,georgia
wsj,us-national
wttw,chicago
zerohedge,us-right-wing
