site_handle,bundle_slug
11AliveNews,georgia
12khari,nepal
12NewsNow,texas
13wmaznews,georgia
14eastmag,chicago
20Minutes,france
41NBC,georgia
6abc,philadelphia
9to5mac,tech
ABC,us-national
ABC7,socal
abc7breaking,texas
abqbizfirst,new-mexico
ABQJournal,new-mexico
Aftenposten,norway
ajc,georgia
Albany_Herald,georgia
AlterNet,us-left-wing
AmesTribNews,iowa
Annapurna_Post,nepal
AP,us-national
ArizCIR,arizona
arstechnica,tech
arthasarokar,nepal
asahi,japan
AshlandORNews,oregon
atlblog,us-left-wing
atlciviccircle,georgia
AUG_Chronicle,georgia
AustinChronicle,texas
AvlWatchdog,north-carolina
axios,capitol-hill
azcentral,arizona
azds,arizona
badger_project_,wisconsin
baltbeat,maryland
BaltBizOnline,maryland
baltfishbowl,maryland
BaltimoreBanner,maryland
BaltimoreBrew,maryland
Baltimoremag,maryland
baltimoresun,maryland
bariweiss,us-right-wing
baynature,bay-area
bbc,uk-national
bcn_foundation,bay-area
Berkeleyside,bay-area
BetterGov,chicago
billy_penn,philadelphia
bklyner,new-york-city
BleacherReport,sports
BleepinComputer,tech
BlockClubCHI,chicago
BmtEnterprise,texas
BoingBoing,tech
BonginoReport,us-right-wing
BreitbartNews,us-right-wing
Brunswick_News,georgia
btno,norway
BulwarkOnline,us-right-wing
business,us-national
calgaryherald,canada
CalMatters,bay-area
canopyatl,georgia
capgaznews,maryland
capitalandmain,socal
CapitalB_ATL,georgia
cbcnews,canada
cbs46,georgia
CBS7News,texas
CBSNews,us-national
chess24com,chess
ChessBase,chess
chesscom,chess
Chicago_Reader,chicago
ChicagoReporter,chicago
chicagotribune,chicago
chunichi_denhen,japan
CiceroNoticias,chicago
citylimitsnews,new-york-city
ClimateCentral,science
CNET,tech
cnn,us-national
CNSmd,maryland
CODaily,oregon
CoinDesk,tech
CoMissourian,missouri
commondreams,us-left-wing
CookPolitical,capitol-hill
CPublicPress,north-carolina
CQnow,capitol-hill
CrucesSunNews,new-mexico
ctvnews,canada
dagbladet,norway
Dagsavisen,norway
Daily_Record,scotland
DailyCaller,us-right-wing
dailykos,us-left-wing
dailymirror,uk-national
dailytarheel,north-carolina
dainik_online,nepal
DallasBizNews,texas
dallasfreepress,texas
dallasnews,texas
dcexaminer,us-right-wing
dcnepal,nepal
DEADLINE,entertainment
Deadspin,sports
DecisionDeskHQ,capitol-hill
DefectorMedia,sports
democracynow,us-left-wing
deshsanchar1,nepal
DMRegister,iowa
DN_no,norway
documentedny,new-york-city
doorcountyknock,wisconsin
DRUDGE,us-right-wing
EastBayTimes,bay-area
EENewsUpdates,capitol-hill
ek_business,nepal
el_timpano,bay-area
El_Universal_Mx,mexico
enewsofnepal,nepal
engadget,tech
espn,sports
EveningStandard,uk-national
EvRoundTable,chicago
ExpressNews,texas
FAIRmediawatch,us-left-wing
FDRLST,us-right-wing
financialpost,canada
firstthingsmag,us-right-wing
FortWorthReport,texas
fox12oregon,oregon
FOX29philly,philadelphia
Fox5Atlanta,georgia
FOXLA,socal
foxnews,us-national
foxnews,us-right-wing
FOXSports,sports
FRANCE24,france
France24_en,france
franceinfo,france
frednewspost,maryland
FreeBeacon,us-right-wing
freethinkmedia,tech
ft,uk-national
GainesvilleSun,florida
GalvNews,texas
gatewaypundit,us-right-wing
gazetaru,russia
gazettedotcom,iowa
gbpressgazette,wisconsin
GCM_nf,chicago
georgiastraight,canada
getFANDOM,entertainment
gigharbornow,washington
gizmodo,tech
globalnews,canada
globeandmail,canada
Gothamist,new-york-city
gpbnews,georgia
gridnews,capitol-hill
guardian,uk-national
GwinnettDaily,georgia
HellGateNY,new-york-city
heraldscotland,scotland
HiddenCityPhila,philadelphia
hotairblog,us-right-wing
HoustonChron,texas
HromadskeUA,eastern-europe
htrnews,wisconsin
HuffPost,us-national
HuffPost,us-left-wing
HuffPostCanada,canada
HumanEvents,us-right-wing
humansofny,new-york-city
imagekhabar,nepal
Independent,uk-national
Independent_ie,ireland
inewsource,socal
infowars,us-right-wing
injusticewatch,chicago
inthesetimesmag,us-left-wing
IowaPublicRadio,iowa
IrishCathNews,ireland
irishexaminer,ireland
IrishTimes,ireland
izvestia_ru,russia
jacobin,us-left-wing
jdemontreal,canada
Jezebel,us-left-wing
jijicom,japan
JN_Japanese,japan
johncombest,missouri
JoplinGlobe,missouri
journalsentinel,wisconsin
karobar_daily,nepal
kcautv,iowa
KCCINews,iowa
KCDefender,missouri
KCRG,iowa
kcrw,socal
KCStar,missouri
kcur,missouri
kerrville,texas
khabarkendra,nepal
KHOU,texas
KING5Seattle,washington
KnockDotLA,socal
knprnews,las-vegas
KOMUnews,missouri
kpbs,socal
kpcc,socal
KQED,bay-area
KTLA,socal
KUT,texas
KVOA,arizona
KVUE,texas
KXAN_News,texas
kyivindependent,eastern-europe
KyivPost,eastern-europe
labornotes,us-left-wing
LaCrosseTribune,wisconsin
LagrangeNews,georgia
laist,socal
LaJornada,mexico
LasVegasSun,las-vegas
LATACO,socal
latimes,socal
Le_Figaro,france
le_Parisien,france
leadertelegram,wisconsin
ledevoir,canada
LedgerEnquirer,georgia
LeHuffPost,france
LeMonde_EN,france
lemondefr,france
lentaruofficial,russia
libe,france
LittleVillage,iowa
lobs,france
Lokaantar,nepal
lokpath,nepal
lookoutscruz,bay-area
lp_lapresse,canada
lubbockonline,texas
MacRumors,tech
MailOnline,uk-national
MarfaRadio,texas
marylandmatters,maryland
mashable,tech
MDDailyRecord,maryland
mdjonline,georgia
meduzaproject,eastern-europe
mercnews,bay-area
MiamiHerald,florida
MinnPost,minnesota
miwisconsin,wisconsin
mlnow,bay-area
mmfa,us-left-wing
MO_Independent,missouri
MorePerfectUS,us-left-wing
MotherJones,us-left-wing
msnbc,us-national
msnbc,us-left-wing
MSTODAYnews,mississippi
mtlgazette,canada
MTVNEWS,entertainment
mwtnews,texas
MyDesert,socal
nagarik_news,nepal
nationaljournal,capitol-hill
nationalpost,canada
NAYA_PATRIKA,nepal
nbcbayarea,bay-area
nbcchicago,chicago
NBCDFW,texas
NBCNews,us-national
NBCPhiladelphia,philadelphia
Nepalkhabar24,nepal
Nettavisen,norway
newrepublic,us-left-wing
News3LV,las-vegas
NewsGorkhapatra,nepal
NewsHour,us-national
newsobserver,north-carolina
newspressnow,missouri
NewsTribune,missouri
NewYorker,new-york-city
nextcityorg,philadelphia
NHK_news,japan
nikkei,japan
novayagazeta_eu,russia
NPR,us-national
NRK,norway
NRO,us-right-wing
ntdaily,texas
NY1,new-york-city
NYDailyNews,new-york-city
NYMag,new-york-city
nypost,new-york-city
nysfocus,new-york-city
nytimes,us-national
nytimes,new-york-city
Oaklandside,bay-area
OANN,us-right-wing
OCMediaorg,eastern-europe
ocregister,socal
okayplayer,entertainment
Online_khabar,nepal
onlineathens,georgia
OpenVallejo,bay-area
ORCapChronicle,oregon
Oregonian,oregon
osnepalnews,nepal
ottawacitizen,canada
OttumwaCourier,iowa
Pajaropolitico,mexico
PeninsuPress,bay-area
PhillyInquirer,philadelphia
PhillyTrib,philadelphia
PioneerPress,minnesota
pitchfork,chicago
platformer,tech
PointReyesLight,bay-area
politico,capitol-hill
PolitiFact,capitol-hill
portlandmercury,oregon
PostCrescent,wisconsin
powerlineus,us-right-wing
presscitizen,iowa
pressenterprise,socal
protocol,tech
PunchbowlNews,capitol-hill
qctimes,iowa
Rajdhani_daily,nepal
Rato_pati,nepal
RawStory,us-left-wing
realDailyWire,us-right-wing
reason,us-right-wing
RedState,us-right-wing
ReporterNews,texas
reviewjournal,las-vegas
RFI,france
rgvfox,texas
rianru,russia
rollcall,capitol-hill
RollingStone,entertainment
romenewstribune,georgia
rt_com,russia
rtenews,ireland
sacbee_news,bay-area
SahanJournal,minnesota
salon,us-left-wing
Sankei_news,japan
SavannahNow,georgia
SBNation,sports
ScotNational,scotland
ScottishSun,scotland
SCOTUSblog,capitol-hill
scsentinel,bay-area
sdut,socal
SearchlightNM,new-mexico
seattletimes,washington
segodnya_online,eastern-europe
seikyoofficial,japan
setopati,nepal
sfchronicle,bay-area
sgfcitizen,missouri
SInow,sports
SJSpotlight,bay-area
Slate,us-left-wing
SLTimes,iowa
source_nm,new-mexico
SouthSideWeekly,chicago
SpokesmanReview,washington
SputnikInt,russia
startelegram,texas
StarTribune,minnesota
statesman,texas
statnews,science
StevensPointJrl,wisconsin
stlpublicradio,missouri
stltoday,missouri
strikewave,us-left-wing
Suntimes,chicago
tass_agency,russia
techcrunch,tech
techmeme,tech
techreview,tech
Telegraph,uk-national
telegraphga,georgia
TelegraphHerald,iowa
TexasMonthly,texas
TexasObserver,texas
TexasTribune,texas
ThahaKhabar,nepal
TheAthletic,sports
thebafflermag,us-left-wing
theblaze,us-right-wing
TheBlock__,tech
THECITYNY,new-york-city
TheDailyClimate,science
thedbk,maryland
thedispatch,us-right-wing
thehill,capitol-hill
thehilltimes,canada
theinformation,tech
theintercept,us-left-wing
thejournal_ie,ireland
thelasentinel,socal
TheLeftBench,maryland
themarkup,tech
TheNation,us-left-wing
thenewmexican,new-mexico
theobserver,north-carolina
TheOnion,satire
thephilacitizen,philadelphia
TheProspect,us-left-wing
TheRealNews,maryland
TheScotsman,scotland
TheSun,uk-national
TheTimes,uk-national
thetorontosun,canada
TheTRiiBE,chicago
TheVDT,georgia
TheWrap,entertainment
THR,entertainment
TiftonGazette1,georgia
timesenterprise,georgia
TimesHerald,georgia
timesofindia,india
TMZ,entertainment
TOAcornNews,socal
torontostar,canada
torrentfreak,tech
townhallcom,us-right-wing
tpm,capitol-hill
TPRNews,texas
truthout,us-left-wing
TucsonSentinel,arizona
TucsonStar,arizona
Tylerpaper,texas
Ujyaalo,nepal
ukrinform,eastern-europe
UMD_SBS,maryland
UR_Ninja,us-left-wing
USATODAY,us-national
usweekly,entertainment
UvaldeNews,texas
uwogazette,canada
uwogazette,student
vancouversun,canada
Variety,entertainment
vcstar,socal
VentureBeat,tech
verge,tech
vgnett,norway
voiceofoc,socal
voiceofsandiego,socal
voicesofbay,bay-area
voxdotcom,us-left-wing
wabenews,georgia
WALBNews10,georgia
washingtonpost,us-national
washingtonpost,maryland
WashTimes,us-right-wing
wausauherald,wisconsin
WBEZ,chicago
wcfcourier,iowa
wfaa,texas
WFXL,georgia
WHYYNews,philadelphia
windowscentral,tech
wired,tech
WiStateJournal,wisconsin
WJBF,georgia
WNCN,north-carolina
WNYC,new-york-city
worldnetdaily,us-right-wing
wral,north-carolina
wrblnews3,georgia
WRDW_WAGT,georgia
WSAV,georgia
wsbtv,georgia
wsj,us-national
WTOC11,georgia
wttw,chicago
WTVM,georgia
YahooNews,us-national
zerohedge,us-right-wing
zn_ua,eastern-europe
