handle,name,url,location,timezone,country,language
100Reporters,100Reporters,http://100r.org/,Washington,America/New_York,US,en
11AliveNews,11Alive News,https://www.11alive.com,Atlanta,America/New_York,US,en
12NewsNow,12 News Now,https://www.12newsnow.com/,Beaumont,America/Chicago,US,en
12khari,Baahrakhari,https://baahrakhari.com/,Kathmandu,Asia/Kathmandu,NP,ne
13wmaznews,13WMAZ News,https://www.13wmaz.com,Macon,America/New_York,US,en
14eastmag,14 East,http://fourteeneastmag.com/,Chicago,America/Chicago,US,en
19thnews,19th,https://19thnews.org/,Austin,America/Chicago,US,en
1NewsNZ,1News,https://www.1news.co.nz/,Auckland,Pacific/Auckland,NZ,en
20Minutes,20 Minutes,https://www.20minutes.fr/,Paris,Europe/Paris,FR,fr
3NewsNowOmaha,KMTV 3 News Now,https://www.3newsnow.com/,Omaha,America/Chicago,US,en
41NBC,41NBC / WMGT,https://www.41nbc.com,Macon,America/New_York,US,en
6abc,6abc,https://6abc.com/,Philadelphia,America/New_York,US,en
9NEWS,9NEWS Denver,https://www.9news.com/,Denver,America/Denver,US,en
9to5mac,9to5Mac,https://9to5mac.com/,Cupertino,America/Los_Angeles,US,en
ABC,ABC News,https://abcnews.go.com/,New York City,America/New_York,US,en
ABC15,ABC15 Arizona,https://www.abc15.com/,Phoenix,America/Phoenix,US,en
ABC7,ABC7,https://abc7.com/,Los Angeles,America/Los_Angeles,US,en
ABQJournal,Albuquerque Journal,https://www.abqjournal.com/,Albuquerque,America/Denver,US,en
AINonline,Aviation International News,https://www.ainonline.com/,Midland Park,America/New_York,US,en
AJEnglish,Al Jazeera English,https://www.aljazeera.com/,Doha,Asia/Qatar,QA,en
AKNewsNow,Alaska’s News Source,https://www.alaskasnewssource.com/,Anchorage,America/Anchorage,US,en
ALPublicRadio,Alabama Public Radio,https://www.apr.org/,Tuscaloosa,America/Chicago,US,en
ALReporter,Alabama Reporter,https://www.alreporter.com/,Montgomery,America/Chicago,US,en
AP,Associated Press,https://apnews.com/,New York City,America/New_York,US,en
AUG_Chronicle,Augusta Chronicle,https://www.augustachronicle.com,Augusta,America/New_York,US,en
Adnkronos,Adnkronos,https://www.adnkronos.com/,Rome,Europe/Berlin,IT,it
Aftenposten,Aftenposten,https://www.aftenposten.no/,Oslo,Europe/Oslo,NO,no
AirlineReporter,Airline Reporter,https://www.airlinereporter.com/,Seattle,America/Los_Angeles,US,en
Akpublicnews,Alaska Public Media,https://alaskapublic.org/,Anchorage,America/Anchorage,US,en
AlDiaDallas,Al Dia Dallas,https://www.dallasnews.com/espanol/al-dia/,Dallas,America/Chicago,US,es
Albany_Herald,Albany Herald,https://www.albanyherald.com,Albany,America/New_York,US,en
Alma_Preta,Alma Preta,https://almapreta.com/,São Paulo,America/Sao_Paulo,BR,pt
AlterNet,AlterNet,https://www.alternet.org/,Washington,America/New_York,US,en
AmerIndependent,American Independent,https://americanindependent.com/,Washington,America/New_York,US,en
AmesTribNews,Ames Tribune,https://www.amestrib.com/,Ames,America/Chicago,US,en
Annapurna_Post,Annapurna Post,https://www.annapurnapost.com/,Kathmandu,Asia/Kathmandu,NP,ne
Appalachia100,100 Days in Appalachia,https://www.100daysinappalachia.com/,Morgantown,America/New_York,US,en
AristeguiOnline,Aristegui Noticias,https://aristeguinoticias.com/,Mexico City,America/Mexico_City,MX,es
ArizCIR,Arizona Center for Investigative Reporting,https://azcir.org/,Phoenix,America/Los_Angeles,US,en
ArkBusiness,Arkansas Business,https://www.arkansasbusiness.com/,Little Rock,America/Chicago,US,en
