identifier,handle,file_name,url,mtime,size,md5,sha1
100reporters-2022,100Reporters,100reporters-2022-08-05T08:17:52.834271-04:00.wayback.json,https://archive.org/download/100reporters-2022/100reporters-2022-08-05T08:17:52.834271-04:00.wayback.json,2022-08-05 12:18:07,28859,645bdd2d9aea21cf849ab483a3cc41f5,92c2f1ade6a7105433deb0a5cdaafaffedd161f3
11alivenews-2022,11AliveNews,11alivenews-2022-08-05T08:18:29.178687-04:00.wayback.json,https://archive.org/download/11alivenews-2022/11alivenews-2022-08-05T08:18:29.178687-04:00.wayback.json,2022-08-05 12:18:41,19651,050c424c002d7d5f16b1126d676f3006,5d5ba9dc82c6a831b1cb7c9a0130608e21b84e19
12newsnow-2022,12NewsNow,12newsnow-2022-08-05T07:17:48.379628-05:00.wayback.json,https://archive.org/download/12newsnow-2022/12newsnow-2022-08-05T07:17:48.379628-05:00.wayback.json,2022-08-05 12:17:58,21415,94432e2b4e60afb89dd47dfed791ddd1,b8a998c0704dd25ef37c9dd6593b3c8ec537032b
12khari-2022,12khari,12khari-2022-08-05T18:03:52.518049+05:45.wayback.json,https://archive.org/download/12khari-2022/12khari-2022-08-05T18:03:52.518049+05:45.wayback.json,2022-08-05 12:19:12,18676,ce43262e371dc076933c09479050ca92,21cbc4cd2d243aa7746b6cb70dc214b025d2f64c
13wmaznews-2022,13wmaznews,13wmaznews-2022-08-05T08:18:05.644962-04:00.wayback.json,https://archive.org/download/13wmaznews-2022/13wmaznews-2022-08-05T08:18:05.644962-04:00.wayback.json,2022-08-05 12:18:16,20568,b697938971266ee2ba271875ba8ab006,86ee9742e53530750d0dcc73e39f245d1f82a17f
14eastmag-2022,14eastmag,14eastmag-2022-08-05T07:18:42.367679-05:00.wayback.json,https://archive.org/download/14eastmag-2022/14eastmag-2022-08-05T07:18:42.367679-05:00.wayback.json,2022-08-05 12:18:52,14396,2af82b9f93fcdf663ae94447b77c1fa7,6733946c166ae5f70b9cce2bf67a11b33443af3c
19thnews-2022,19thnews,19thnews-2022-08-05T07:18:35.395171-05:00.wayback.json,https://archive.org/download/19thnews-2022/19thnews-2022-08-05T07:18:35.395171-05:00.wayback.json,2022-08-05 12:18:44,10295,ceaa44c80335182ed77476bda314ce69,dec8fcea0892df92648bba8099e3236d2a4c2d80
20minutes-2022,20Minutes,20minutes-2022-08-05T10:11:52.100687+02:00.wayback.json,https://archive.org/download/20minutes-2022/20minutes-2022-08-05T10:11:52.100687+02:00.wayback.json,2022-08-05 08:11:59,42081,cc59dbc678d9620d2c4c09d774ff4718,56714910674f066b654b53f02998cdb6fb5d03fa
20minutes-2022,20Minutes,20minutes-2022-08-05T14:18:36.022873+02:00.wayback.json,https://archive.org/download/20minutes-2022/20minutes-2022-08-05T14:18:36.022873+02:00.wayback.json,2022-08-05 12:18:48,37548,74e4dee4c44bd080ab04090f22dd4194,07a3a85c9bd69e9a2c5a2d1a3bf0138cdff428bc
41nbc-2022,41NBC,41nbc-2022-08-05T08:18:48.086944-04:00.wayback.json,https://archive.org/download/41nbc-2022/41nbc-2022-08-05T08:18:48.086944-04:00.wayback.json,2022-08-05 12:18:57,124332,7b5eb7b55f7c4f211658899f7517fcde,fc15c7b570ebd13034d4b9a71a7c8acfb48c4d30
abc15-2022,ABC15,abc15-2022-08-05T05:19:10.330586-07:00.wayback.json,https://archive.org/download/abc15-2022/abc15-2022-08-05T05:19:10.330586-07:00.wayback.json,2022-08-05 12:19:24,90813,0386323c7fdb11fd72e218b3b52312ac,f41e9500e9dc8371050933abfe41e1bca0b9d126
ajenglish-2022,AJEnglish,ajenglish-2022-08-05T15:22:58.999562+03:00.wayback.json,https://archive.org/download/ajenglish-2022/ajenglish-2022-08-05T15:22:58.999562+03:00.wayback.json,2022-08-05 12:23:12,30079,49bdbecc1ed55c8c83af387f8052d860,a23b6a325fb83e2a2f2304209d52669834201078
ap-2022,AP,ap-2022-08-05T08:20:11.852309-04:00.wayback.json,https://archive.org/download/ap-2022/ap-2022-08-05T08:20:11.852309-04:00.wayback.json,2022-08-05 12:20:24,226,8bd0fa3da0fd543ef45a73a3482e1723,6fca5a8436a8527bcac8f9474c3dc423d2b4b47e
