twitter,url,name,location,timezone,country,language,bundle,wait,no_adguard
100reporters,http://100r.org/,100Reporters,Washington,America/New_York,US,en,,,
11alivenews,https://www.11alive.com,11Alive News,Atlanta,America/New_York,US,en,georgia,,
12khari,https://baahrakhari.com/,Baahrakhari,Kathmandu,Asia/Kathmandu,NP,ne,,,
12newsnow,https://www.12newsnow.com/,12 News Now,Beaumont,America/Chicago,US,en,texas,,
13wmaznews,https://www.13wmaz.com,13WMAZ News,Macon,America/New_York,US,en,georgia,,
14eastmag,http://fourteeneastmag.com/,14 East,Chicago,America/Chicago,US,en,illinois|chicago,,
19thnews,https://19thnews.org/,19th,Austin,America/Chicago,US,en,feminist,,
1newsnz,https://www.1news.co.nz/,1News,Auckland,Pacific/Auckland,NZ,en,,,
20minutes,https://www.20minutes.fr/,20 Minutes,Paris,Europe/Paris,FR,fr,,,
3newsnowomaha,https://www.3newsnow.com/,KMTV 3 News Now,Omaha,America/Chicago,US,en,nebraska,,
41nbc,https://www.41nbc.com,41NBC / WMGT,Macon,America/New_York,US,en,georgia,,
6abc,https://6abc.com/,6abc,Philadelphia,America/New_York,US,en,pennsylvania|philadelphia,,
9news,https://www.9news.com/,9NEWS Denver,Denver,America/Denver,US,en,colorado,,
9to5mac,https://9to5mac.com/,9to5Mac,Cupertino,America/Los_Angeles,US,en,tech,,
abc,https://abcnews.go.com/,ABC News,New York City,America/New_York,US,en,us-national,,
abc_es,https://www.abc.es/,ABC,Madrid,Europe/Madrid,ES,es,,,
abc15,https://www.abc15.com/,ABC15 Arizona,Phoenix,America/Phoenix,US,en,arizona,,
abc3340,https://abc3340.com/,ABC 33/40 News,Birmingham,America/Chicago,US,en,alabama,,
abc7,https://abc7.com/,ABC7,Los Angeles,America/Los_Angeles,US,en,socal|california,,
abc7breaking,https://kvia.com/,KVIA,El Paso,America/Denver,US,en,texas,,
abc7newsbayarea,https://abc7news.com/,ABC7 News,San Francisco,America/Los_Angeles,US,en,bay-area|california,,
abcnews,https://www.abc.net.au/news/,ABC News,Sydney,Australia/Sydney,AU,en,,,
aberdeennews,https://www.aberdeennews.com/,Aberdeen News,Aberdeen,America/Chicago,US,en,south-dakota|gannett,,
abqbizfirst,https://www.bizjournals.com/albuquerque/,Albuquerque Business First,Albuquerque,America/Denver,US,en,new-mexico,,
abqjournal,https://www.abqjournal.com/,Albuquerque Journal,Albuquerque,America/Denver,US,en,new-mexico,,
adndotcom,https://www.adn.com/,Anchorage Daily News,Anchorage,America/Anchorage,US,en,alaska,,
adnkronos,https://www.adnkronos.com/,Adnkronos,Rome,Europe/Berlin,IT,it,,,
aftenposten,https://www.aftenposten.no/,Aftenposten,Oslo,Europe/Oslo,NO,no,,,
agenciabrasil,https://agenciabrasil.ebc.com.br/,Agência Brasil,Brasília,America/Sao_Paulo,BR,pt,,,
agenciapublica,https://apublica.org/,Agência Pública,Sao Paulo,America/Sao_Paulo,BR,pt,,,
ainonline,https://www.ainonline.com/,Aviation International News,Midland Park,America/New_York,US,en,aviation,,
airlinereporter,https://www.airlinereporter.com/,Airline Reporter,Seattle,America/Los_Angeles,US,en,aviation,,
airwaysmagazine,https://airwaysmag.com/,Airways,Miami,America/New_York,US,en,aviation,,
ajc,https://www.ajc.com/,Atlanta Journal-Constitution,Atlanta,America/New_York,US,en,georgia,,
ajenglish,https://www.aljazeera.com/,Al Jazeera English,Doha,Asia/Qatar,QA,en,,,
aknewsnow,https://www.alaskasnewssource.com/,Alaska’s News Source,Anchorage,America/Anchorage,US,en,alaska,,
akpublicnews,https://alaskapublic.org/,Alaska Public Media,Anchorage,America/Anchorage,US,en,alaska,,
alamogordonews,https://www.alamogordonews.com/,Alamogordo Daily News,Alamogordo,America/Denver,US,en,new-mexico|gannett,,
albany_herald,https://www.albanyherald.com,Albany Herald,Albany,America/New_York,US,en,georgia,,
aldiadallas,https://www.dallasnews.com/espanol/al-dia/,Al Dia Dallas,Dallas,America/Chicago,US,es,texas,,
