name,type,n,percent
#MeToo 5,MONEY,1,0.00017624250969333803
$ 1 billion,MONEY,1,0.00017624250969333803
$1 BILLION,MONEY,1,0.00017624250969333803
$1 Billion,MONEY,2,0.00035248501938667606
$1 Million,MONEY,1,0.00017624250969333803
$1 Trillion,MONEY,3,0.0005287275290800141
$1 million,MONEY,1,0.00017624250969333803
$1.3 trillion,MONEY,1,0.00017624250969333803
$1.6 Billion,MONEY,1,0.00017624250969333803
$100 Billion,MONEY,1,0.00017624250969333803
$100 Million,MONEY,3,0.0005287275290800141
$100 million,MONEY,1,0.00017624250969333803
$10M,MONEY,2,0.00035248501938667606
$12.6 million,MONEY,1,0.00017624250969333803
$140 Million,MONEY,1,0.00017624250969333803
$145 Million,MONEY,1,0.00017624250969333803
$150 million,MONEY,1,0.00017624250969333803
$155 million,MONEY,1,0.00017624250969333803
$163 Million,MONEY,1,0.00017624250969333803
$169 Million,MONEY,1,0.00017624250969333803
$18 Sandwiches,MONEY,1,0.00017624250969333803
$196 million,MONEY,1,0.00017624250969333803
$2.1M,MONEY,1,0.00017624250969333803
$20 million,MONEY,1,0.00017624250969333803
$20K,MONEY,1,0.00017624250969333803
$20M,MONEY,1,0.00017624250969333803
$21 BILLION,MONEY,1,0.00017624250969333803
$23 billion,MONEY,1,0.00017624250969333803
$235K,MONEY,1,0.00017624250969333803
$25 Million,MONEY,1,0.00017624250969333803
$25 million,MONEY,1,0.00017624250969333803
$250 Million,MONEY,1,0.00017624250969333803
$250 million,MONEY,3,0.0005287275290800141
$250M,MONEY,1,0.00017624250969333803
$251 Billion,MONEY,1,0.00017624250969333803
$258 billion,MONEY,1,0.00017624250969333803
$3 million,MONEY,1,0.00017624250969333803
$31 trillion,MONEY,1,0.00017624250969333803
$315 Billion,MONEY,1,0.00017624250969333803
$350 Million,MONEY,1,0.00017624250969333803
$45 MILLION,MONEY,1,0.00017624250969333803
$49.3 MILLION,MONEY,1,0.00017624250969333803
$5 Trillion,MONEY,1,0.00017624250969333803
$50 billion,MONEY,1,0.00017624250969333803
$500 Million,MONEY,1,0.00017624250969333803
$500 million,MONEY,1,0.00017624250969333803
$50M,MONEY,1,0.00017624250969333803
$525 million,MONEY,1,0.00017624250969333803
$6.4 billion,MONEY,1,0.00017624250969333803
$69 Million,MONEY,1,0.00017624250969333803
$7 BILLION,MONEY,1,0.00017624250969333803
$7 Million,MONEY,1,0.00017624250969333803
$7 Trillion,MONEY,1,0.00017624250969333803
$7 billion,MONEY,1,0.00017624250969333803
$71 billion,MONEY,1,0.00017624250969333803
$8 Million,MONEY,1,0.00017624250969333803
$80 Billion,MONEY,1,0.00017624250969333803
$95 Million,MONEY,1,0.00017624250969333803
'08,DATE,1,0.00017624250969333803
'09,DATE,1,0.00017624250969333803
'2000,DATE,1,0.00017624250969333803
'22,DATE,1,0.00017624250969333803
'22's,DATE,1,0.00017624250969333803
'23,DATE,1,0.00017624250969333803
'24,DATE,10,0.0017624250969333803
'28,DATE,1,0.00017624250969333803
'30,DATE,2,0.00035248501938667606
'40 days,DATE,1,0.00017624250969333803
'5 days',DATE,1,0.00017624250969333803
'59,DATE,1,0.00017624250969333803
'60%,PERCENT,1,0.00017624250969333803
'69,DATE,1,0.00017624250969333803
'70s,DATE,1,0.00017624250969333803
'79,DATE,1,0.00017624250969333803
'90mph,QUANTITY,1,0.00017624250969333803
'90s,DATE,1,0.00017624250969333803
'96,DATE,1,0.00017624250969333803
'Days,DATE,1,0.00017624250969333803
'Havana Syndrome',ORG,1,0.00017624250969333803
'March,DATE,1,0.00017624250969333803
'Week,DATE,1,0.00017624250969333803
'Year,DATE,1,0.00017624250969333803
'toughest winter,DATE,1,0.00017624250969333803
'years,DATE,1,0.00017624250969333803
-20%,PERCENT,1,0.00017624250969333803
0,CARDINAL,1,0.00017624250969333803
1,CARDINAL,14,0.0024673951357067326
1,MONEY,1,0.00017624250969333803
1 Million,CARDINAL,1,0.00017624250969333803
1 million,CARDINAL,2,0.00035248501938667606
1%,PERCENT,1,0.00017624250969333803
"1,000",CARDINAL,1,0.00017624250969333803
"1,000",MONEY,1,0.00017624250969333803
"1,185",MONEY,1,0.00017624250969333803
"1,200-year-old",DATE,2,0.00035248501938667606
"1,300",CARDINAL,2,0.00035248501938667606
"1,500-year-old",DATE,1,0.00017624250969333803
"1,800 years",DATE,1,0.00017624250969333803
1.1 million,CARDINAL,1,0.00017624250969333803
10,CARDINAL,15,0.0026436376454000705
10 days,DATE,1,0.00017624250969333803
10 minutes,TIME,1,0.00017624250969333803
10 months,DATE,1,0.00017624250969333803
10 year old,DATE,1,0.00017624250969333803
10 years,DATE,1,0.00017624250969333803
10%,PERCENT,3,0.0005287275290800141
