text,url,n,earlier_date,is_story
"
Golfer set to become first trans to earn LPGA tour card...",https://www.dailymail.co.uk/news/article-11129215/Golfer-set-transgender-woman-win-coveted-Ladies-PGA-Tour-Card.html,2,2022-08-20,True
"
Golfer to become first trans to earn LPGA tour card...",https://www.dailymail.co.uk/news/article-11129215/Golfer-set-transgender-woman-win-coveted-Ladies-PGA-Tour-Card.html,4,2022-08-21,True
"
People Who Do Strength Training Live Longer -- and Better...",https://dnyuz.com/2022/08/24/people-who-do-strength-training-live-longer-and-better/,2,2022-08-25,True
"
Wildfire near Yosemite National Park explodes in size...",https://apnews.com/article/wildfires-fires-california-evacuations-department-of-forestry-and-fire-protection-3b924a9d041b37acdc57e4b4eb8a64fe,3,2022-07-24,True
 Committee Kicks Off Capitol Attack Public Probe...,https://apnews.com/article/capitol-siege-ivanka-trump-congress-election-2020-democracy-ac041b3c74efef6a0f0ab9ff7f073ea2,1,2022-06-09,True
 DeSantis calls out the Chinese Communist Party for buying giant chunks of farmland and property in his state...,https://www.dailymail.co.uk/news/article-11042341/Florida-Gov-Ron-DeSantis-calls-CCP-buying-farmland-property-state.html,3,2022-07-24,True
 Documentary:  The Don called the rioters 'smart'... ,https://variety.com/2022/tv/news/unprecedented-donald-trump-jan-6-documentary-discovery-plus-1235312905/,1,2022-07-11,True
 Hearing Delivers Political Blow That His Rivals Couldn't Land...,https://kdhnews.com/news/politics/explosive-jan-6-hearing-delivers-political-blow-to-trump-that-his-rivals-couldnt-land/article_dd6737d4-bad9-555b-a613-97c29f9c9b81.html,5,2022-06-30,True
 Monkeypox Cases Double...,https://www.wsj.com/articles/u-s-monkeypox-cases-double-as-spread-continues-through-close-contact-cdc-says-11654886200,1,2022-06-12,True
 More White House aides will testify at next hearing...,https://apnews.com/article/capitol-siege-biden-donald-trump-government-and-politics-00896eaba6df614bf46fc6beebe63fce,3,2022-07-20,True
 POLITICS GOES TO SH*T...,https://nypost.com/2022/08/20/dr-oz-mocked-after-poop-tweets-resurface/,1,2022-08-22,True
 UPDATE: DEEP DYSFUNCTION IN WHITE HOUSE...,https://www.cnn.com/2022/06/02/politics/joe-biden-messaging-struggles/index.html,1,2022-06-03,True
 What's next for other criminal cases...,https://apnews.com/article/capitol-siege-riots-donald-trump-georgia-presidential-elections-cd0fc9d394b245916297c8dd771d4840,6,2022-07-23,True
#ChurchToo revelations growing...,https://apnews.com/article/entertainment-health-baptist-religion-c7c5f62a5737b3aee20ceaa3f99ab603,1,2022-06-12,True
#ReadyForFireworks...,https://gizmodo.com/elon-musk-twitter-town-hall-1849057793,2,2022-06-14,True
$$49.3 MILLION VERDICT...,https://apnews.com/article/covid-health-shootings-violence-7afca66904f889c1420a8187dd6d887d,2,2022-08-07,True
$1.8 trillion economy showing no sign of sinking...,https://au.investing.com/news/economy/a-default-when-flush-with-cash-five-signs-russia-aint-sinking-yet-2595396,1,2022-06-27,True
$10 a gallon in CA?,https://www.fox5ny.com/news/gas-is-nearly-10-a-gallon-at-this-california,2,2022-06-03,True
"$100,000 Dress, Perhaps, For Apocalypse?",https://www.wsj.com/articles/couture-buyers-kim-kardashian-11657316310,3,2022-07-10,True
"$100,000 Dress, Perhaps, For End of World?",https://www.wsj.com/articles/couture-buyers-kim-kardashian-11657316310,1,2022-07-09,True
"$15 French Fries, $18 Sandwiches: Inflation Hits NY...",https://dnyuz.com/2022/08/08/15-french-fries-and-18-sandwiches-inflation-hits-new-york/,1,2022-08-09,True
"$15 French Fries, $18 Sandwiches: Inflation Hits NYC...",https://dnyuz.com/2022/08/08/15-french-fries-and-18-sandwiches-inflation-hits-new-york/,1,2022-08-10,True
$2 Trillion Free-Fall Rattles Crypto to Core...,https://finance.yahoo.com/news/2-trillion-free-fall-rattles-230033105.html,4,2022-06-27,True
"$2,245.62 A SECOND: EXXON SCORES ENORMOUS PROFIT...",https://www.cnn.com/2022/07/29/energy/exxonmobil-chevron-earnings/index.html,2,2022-07-30,True
"$2,245.62 a second: EXXON scores enormous profit...",https://www.cnn.com/2022/07/29/energy/exxonmobil-chevron-earnings/index.html,2,2022-07-29,True
$20M PAY DAY?,https://radaronline.com/p/joe-scarborough-20-million-contract-cnn-leaving-msnbc/,2,2022-07-21,True
$251 Billion Fortune Increasingly Hinges on SPACEX...,https://www.bloomberg.com/news/articles/2022-08-30/elon-musk-s-net-worth-increasingly-depends-on-spacex-as-tesla-stock-price-falls#xj4y7vzkg,3,2022-08-30,True
$25M Superyacht up in flames...,https://metro.co.uk/2022/08/12/super-yacht-worth-20000000-goes-up-in-flames-a-month-after-being-delivered-17172801/,3,2022-08-12,True
$3 million bounty on head...,https://www.the-sun.com/news/5987282/salman-rushdie-death-threats-before-stabbing-at-chautauqua/,1,2022-08-12,True
$3 trillion in retirement savings wiped out...,https://www.cbsnews.com/news/stocks-drop-retirement-savings-401k-ira-3-trillion-2022/,1,2022-06-16,True
$3 trillion retirement savings wiped out...,https://www.cbsnews.com/news/stocks-drop-retirement-savings-401k-ira-3-trillion-2022/,2,2022-06-17,True
$45 MILLION MORE,https://apnews.com/article/shootings-austin-texas-violence-e067a8bc031ce48be0810764c7bb3c18,1,2022-08-06,True
$45 MILLION MORE...,https://apnews.com/article/shootings-austin-texas-violence-e067a8bc031ce48be0810764c7bb3c18,3,2022-08-06,True
"$5,000 AVG MANHATTAN...",https://www.cnbc.com/2022/07/14/average-rent-in-manhattan-was-a-record-5000-last-month.html,2,2022-07-14,True
$9.4 Trillion Results Day Looms in Test for Stock Market...,https://finance.yahoo.com/news/9-4-trillion-results-day-075131597.html,1,2022-07-27,True
$95 TO FILL UP FAMILY CAR...,https://abcnews.go.com/Business/gas-prices-hit-national-average-rapid-rise/story?id=85258013,1,2022-06-10,True
