text,url,n,is_story,domain
"
Golfer set to become first trans to earn LPGA tour card...",https://www.dailymail.co.uk/news/article-11129215/Golfer-set-transgender-woman-win-coveted-Ladies-PGA-Tour-Card.html,2,True,dailymail.co.uk
"
Golfer to become first trans to earn LPGA tour card...",https://www.dailymail.co.uk/news/article-11129215/Golfer-set-transgender-woman-win-coveted-Ladies-PGA-Tour-Card.html,4,True,dailymail.co.uk
"
People Who Do Strength Training Live Longer -- and Better...",https://dnyuz.com/2022/08/24/people-who-do-strength-training-live-longer-and-better/,2,True,dnyuz.com
"
Wildfire near Yosemite National Park explodes in size...",https://apnews.com/article/wildfires-fires-california-evacuations-department-of-forestry-and-fire-protection-3b924a9d041b37acdc57e4b4eb8a64fe,3,True,apnews.com
 Committee Kicks Off Capitol Attack Public Probe...,https://apnews.com/article/capitol-siege-ivanka-trump-congress-election-2020-democracy-ac041b3c74efef6a0f0ab9ff7f073ea2,1,True,apnews.com
 DeSantis calls out the Chinese Communist Party for buying giant chunks of farmland and property in his state...,https://www.dailymail.co.uk/news/article-11042341/Florida-Gov-Ron-DeSantis-calls-CCP-buying-farmland-property-state.html,3,True,dailymail.co.uk
 Documentary:  The Don called the rioters 'smart'... ,https://variety.com/2022/tv/news/unprecedented-donald-trump-jan-6-documentary-discovery-plus-1235312905/,1,True,variety.com
 Hearing Delivers Political Blow That His Rivals Couldn't Land...,https://kdhnews.com/news/politics/explosive-jan-6-hearing-delivers-political-blow-to-trump-that-his-rivals-couldnt-land/article_dd6737d4-bad9-555b-a613-97c29f9c9b81.html,5,True,kdhnews.com
 Monkeypox Cases Double...,https://www.wsj.com/articles/u-s-monkeypox-cases-double-as-spread-continues-through-close-contact-cdc-says-11654886200,1,True,wsj.com
 More White House aides will testify at next hearing...,https://apnews.com/article/capitol-siege-biden-donald-trump-government-and-politics-00896eaba6df614bf46fc6beebe63fce,3,True,apnews.com
 POLITICS GOES TO SH*T...,https://nypost.com/2022/08/20/dr-oz-mocked-after-poop-tweets-resurface/,1,True,nypost.com
 UPDATE: DEEP DYSFUNCTION IN WHITE HOUSE...,https://www.cnn.com/2022/06/02/politics/joe-biden-messaging-struggles/index.html,1,True,cnn.com
 What's next for other criminal cases...,https://apnews.com/article/capitol-siege-riots-donald-trump-georgia-presidential-elections-cd0fc9d394b245916297c8dd771d4840,6,True,apnews.com
#ChurchToo revelations growing...,https://apnews.com/article/entertainment-health-baptist-religion-c7c5f62a5737b3aee20ceaa3f99ab603,1,True,apnews.com
#ReadyForFireworks...,https://gizmodo.com/elon-musk-twitter-town-hall-1849057793,2,True,gizmodo.com
$$49.3 MILLION VERDICT...,https://apnews.com/article/covid-health-shootings-violence-7afca66904f889c1420a8187dd6d887d,2,True,apnews.com
$1.8 trillion economy showing no sign of sinking...,https://au.investing.com/news/economy/a-default-when-flush-with-cash-five-signs-russia-aint-sinking-yet-2595396,1,True,investing.com
$10 a gallon in CA?,https://www.fox5ny.com/news/gas-is-nearly-10-a-gallon-at-this-california,2,True,fox5ny.com
"$100,000 Dress, Perhaps, For Apocalypse?",https://www.wsj.com/articles/couture-buyers-kim-kardashian-11657316310,3,True,wsj.com
"$100,000 Dress, Perhaps, For End of World?",https://www.wsj.com/articles/couture-buyers-kim-kardashian-11657316310,1,True,wsj.com
"$15 French Fries, $18 Sandwiches: Inflation Hits NY...",https://dnyuz.com/2022/08/08/15-french-fries-and-18-sandwiches-inflation-hits-new-york/,1,True,dnyuz.com
