date,sites
2022-03-22,24
2022-03-23,46
2022-03-24,60
2022-03-25,72
2022-03-26,56
2022-03-27,74
2022-03-28,79
2022-03-29,72
2022-03-30,49
2022-03-31,60
2022-04-01,79
2022-04-02,61
2022-04-03,51
2022-04-04,82
2022-04-05,76
2022-04-06,87
2022-04-07,85
2022-04-08,87
2022-04-09,96
2022-04-10,95
2022-04-11,96
2022-04-12,97
2022-04-13,96
2022-04-14,97
2022-04-15,100
2022-04-16,100
2022-04-17,88
2022-04-18,99
2022-04-19,89
2022-04-20,99
2022-04-21,86
2022-04-22,100
2022-04-23,100
2022-04-24,99
2022-04-25,97
2022-04-26,95
2022-04-27,100
2022-04-28,88
2022-04-29,100
2022-04-30,96
2022-05-01,97
2022-05-02,100
2022-05-03,99
2022-05-04,99
2022-05-05,98
2022-05-06,100
2022-05-07,94
2022-05-08,96
2022-05-09,99
2022-05-10,96
2022-05-11,76
2022-05-12,85
2022-05-13,96
2022-05-14,95
2022-05-15,97
2022-05-16,84
2022-05-17,83
2022-05-18,79
2022-05-19,77
2022-05-20,87
2022-05-21,99
2022-05-22,100
2022-05-23,90
2022-05-24,94
2022-05-25,90
2022-05-26,89
2022-05-27,91
2022-05-28,68
2022-05-29,92
2022-05-30,100
2022-05-31,100
2022-06-01,99
2022-06-02,100
2022-06-03,91
2022-06-04,100
2022-06-05,75
2022-06-06,77
2022-06-07,98
2022-06-08,74
2022-06-09,100
2022-06-10,68
2022-06-11,101
2022-06-12,97
2022-06-13,97
2022-06-14,82
2022-06-15,70
2022-06-16,81
2022-06-17,107
2022-06-18,113
2022-06-19,149
2022-06-20,149
2022-06-21,149
2022-06-22,149
2022-06-23,149
2022-06-24,200
